Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
51,Noriega B: 30th - 33rd,#51 Noriega B: 30th - 33rd,2017-18,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,R,4,F,Noriega St  :  30th Ave  -  31st Ave,9664000,06/28/2018 12:00:00 AM,Jordan,JBR,1.5,1.166666667,0.9483333333,1,1,1,1,1,0,1.5,0,0,4,1,1,1,1,1,1,10,0.8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-122.4882641,37.7537209,,Regular
,Liberty St -- Guerrero to Rayburn,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,8,D,Liberty St  :  Sanchez St  -  Sanchez St,8325000,06/18/2018 12:00:00 AM,Jordan,JBR,1,1,0.9683333333,1,1,1,1,1,0,0.4666666667,0,0.1,0,,,,,,,51,0.9583333333,0.96875,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4302602,37.75715468,,Priority
78,Van Ness 9: Greenwich - North Point,#78 Van Ness 9: Greenwich - North Point,2017-18,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,R,2,A,Van Ness Ave  :  Greenwich St  -  Lombard St,13169101,06/01/2018 12:00:00 AM,Jordan,JBR,1.1,1.2,0.957,1,1,1,1,1,0,3.5,0,0.6,4,1,1,1,1,1,1,22,0.7866666667,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4243587,37.80041503,,Priority
,Judah St -- 10th to 15th Ave,,2017-18,,Residential,Residential,Fri 12PM to 5PM,L,5,C,Judah St  :  10th Ave  -  11th Ave,7645201,05/21/2018 12:00:00 AM,Jordan,JBR,1.2,1,0.969,1,1,1,1,1,0,1,0,0.2,0,,,,,,,9,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4672531,37.76212798,,Regular
97,"Fillmore C: Geary, Scott - Webster","#97 Fillmore C: Geary, Scott - Webster",2017-18,,Commercial,Commercial,Thu 12PM to 5PM,R,5,C,Geary Blvd  :  Webster St  -  Fillmore St,6041102,06/07/2018 12:00:00 AM,Jordan,JBR,1.25,1,0.9613214286,1,1,1,1,1,0,8.325,0,0.725,2,1,1,1,1,1,1,45,0.6759259259,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4312049,37.78456824,,Regular
,Douglass St -- Market to 20th St,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,8,D,Douglass St  :  19th St  -  Carson St,4945000,06/25/2018 12:00:00 AM,Jordan,JBR,1,1,0.9733333333,1,1,1,1,1,0,1,0,0.0833333333,0,,,,,,,36,1,0.9791666667,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4391673,37.75902775,,Regular
,Peru Ave -- Lisbon to Athens,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,11,E,Peru Ave  :  Lisbon St  -  Madrid St,10376000,06/04/2018 12:00:00 AM,Jordan,JBR,1,1,0.958,1,1,1,1,1,0,1,0,0,0,,,,,,,22,0.96,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.428903,37.72822171,,Priority
,24th Ave -- Traval to Wawona,,2017-18,,Residential,Residential,"Tues 1st, 3rd  8AM to 10AM",L,4,F,24th Ave  :  Vicente St  -  Wawona St,1312000,05/15/2018 12:00:00 AM,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,1.733333333,0,0.2,0,,,,,,,45,0.875,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4807868,37.73908876,,Regular
,26th Ave -- Seacliff to California,,2017-18,,Residential,Residential,"Mon 1st, 3rd 9AM to 11AM",L,1,C,26th Ave  :  Lake St  -  California St,1470000,05/21/2018 12:00:00 AM,Jordan,JBR,1,1.1,0.9785,1,1,1,1,1,0,0.45,0,0.225,0,,,,,,,30,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4862238,37.78569713,,Regular
,Missouri St -- Mariposa to 22nd St,,2017-18,,Residential,Residential,Thurs 12PM to 5pm,L,10,E,Missouri St  :  Mariposa St  -  18th St,9209000,06/14/2018 12:00:00 AM,Jordan,JBR,1,1,0.9633333333,1,1,1,1,1,0,2.19,0,0,0,,,,,,,45,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.3966445,37.76385062,,Regular
21,Glen Park: Diamond - Chenery - San Jose,#21 Glen Park: Diamond - Chenery - San Jose,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,8,D,Diamond St  :  Chenery St  -  Wilder St,4770000,05/16/2018 12:00:00 AM,Jordan,JBR,1,1.214285714,0.9647619048,1,1,1,1,1,0,1.761904762,0,0.1904761905,2,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4338791,37.73450782,,Regular
27,Leland Avenue - Bayshore to Cora,#27 Leland Avenue - Bayshore to Cora,2017-18,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,10,E,Leland Ave  :  Bay Shore Blvd  -  Desmond St,8292000,06/21/2018 12:00:00 AM,Jordan,JBR,1.066666667,1.366666667,0.9626666667,1,1,1,1,1,0,1,0,0.1,1,1,1,1,1,1,1,39,0.975,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4036501,37.71118857,,Priority
